price,date
97972.8075370943,2025-02-04
96386.5143187413,2025-02-04
97690.61739242118,2025-02-04
97888.30731950274,2025-02-05
98360.40524167611,2025-02-05
97742.4722066188,2025-02-05
98029.77668903438,2025-02-05
98006.5293424413,2025-02-05
98094.7373713875,2025-02-05
98200.71650096471,2025-02-05
97513.92279729006,2025-02-05
97904.93450676241,2025-02-05
97656.24528073946,2025-02-05
97450.19613346204,2025-02-05
97759.8831753512,2025-02-05
98193.32303841642,2025-02-05
98045.78183003876,2025-02-05
98611.46674060835,2025-02-05
98351.26868548083,2025-02-05
98192.99346867306,2025-02-05
98044.92329209218,2025-02-05
97736.3008613856,2025-02-05
96709.7362968561,2025-02-05
97377.74729659544,2025-02-05
97326.90138999239,2025-02-05
96870.39922901063,2025-02-05
96439.88149814382,2025-02-05
96613.00809483857,2025-02-06
96839.96420150516,2025-02-06
97130.53973144067,2025-02-06
97355.35589817187,2025-02-06
97355.40414806851,2025-02-06
97643.75264902429,2025-02-06
97775.60672474427,2025-02-06
98402.46047835614,2025-02-06
98232.29586759426,2025-02-06
98211.45992465959,2025-02-06
98692.44773552474,2025-02-06
98975.0605619712,2025-02-06
98901.87439582883,2025-02-06
98359.249482822,2025-02-06
98548.2185810839,2025-02-06
97920.76851950152,2025-02-06
97232.86007013674,2025-02-06
96581.82206855995,2025-02-06
96720.71725520355,2025-02-06
96340.12998876366,2025-02-06
95967.15004023662,2025-02-06
96900.66888552891,2025-02-06
96784.5850446752,2025-02-06
96928.85157608312,2025-02-06
96567.63486519158,2025-02-07
96656.38389228036,2025-02-07
97463.82094798237,2025-02-07
97585.5765251919,2025-02-07
97442.04681675724,2025-02-07
97459.12539682529,2025-02-07
97354.27325739387,2025-02-07
96876.89154634211,2025-02-07
96765.55824275386,2025-02-07
97129.2131679456,2025-02-07
97337.03098963221,2025-02-07
97316.41651615771,2025-02-07
97760.09397417755,2025-02-07
98006.31102408515,2025-02-07
98873.42490634344,2025-02-07
99606.01843437883,2025-02-07
98081.80812585702,2025-02-07
97880.47132241819,2025-02-07
97416.13593512993,2025-02-07
97758.33738706807,2025-02-07
96896.28982042264,2025-02-07
95746.87395405429,2025-02-07
96040.13865031378,2025-02-07
96108.29568062663,2025-02-07
96558.4563096667,2025-02-08
96670.89656751913,2025-02-08
96548.21819135682,2025-02-08
96786.35922159553,2025-02-08
96713.24797153489,2025-02-08
96320.34813679579,2025-02-08
96154.76117032336,2025-02-08
95952.52432602612,2025-02-08
96223.7407871112,2025-02-08
95905.61306579997,2025-02-08
96095.3786132481,2025-02-08
96039.32910256689,2025-02-08
96003.7579365969,2025-02-08
